회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
용평리조트,70960,일반 및 생활 숙박시설 운영업,"리조트 운영, 콘도 분양",2016-05-27,12월,신달순,http://www.yongpyong.co.kr,강원도
해태제과식품,101530,기타 식품 제조업,"홈런볼, 오예스, 맛동산, 부라보콘 등",2016-05-11,12월,신정훈,http://www.ht.co.kr,충청남도
대림씨엔에스,4440,"시멘트, 석회, 플라스터 및 그 제품 제조업","PHC파일, 골재, 강교제작",2016-03-30,12월,배동호,http://www.daelimcns.co.kr,서울특별시
제이에스코퍼레이션,194370,"가죽, 가방 및 유사제품 제조업",핸드백 및 지갑,2016-02-04,12월,홍재성,http://www.jskor.com,서울특별시
코리아오토글라스,152330,유리 및 유리제품 제조업,자동차 안전 유리,2015-12-29,12월,우종철,http://kac.kccworld.co.kr,세종특별자치시
잇츠한불,226320,기타 화학제품 제조업,"스킨케어 베이직, 포인트 메이크업, 스킨케어 스페셜, 베이스 메이크업 등",2015-12-28,12월,홍동석,http://www.itshanbul.com,서울특별시
세진중공업,75580,선박 및 보트 건조업,"선박 Deck House, LPG Tank, Upper Deck Unit, 해양플랜트 Living Quarter",2015-11-30,12월,최양환,http://www.sejinheavy.com,울산광역시
금호에이치티,214330,자동차 신품 부품 제조업,자동차용 전구 및 LED모듈,2015-11-11,12월,조경숙,http://www.kumhoht.co.kr,광주광역시
제주항공,89590,항공 여객 운송업,"여객운송서비스, 화물운송서비스",2015-11-06,12월,이석주,http://www.jejuair.net,제주특별자치도
현대코퍼레이션홀딩스,227840,음·식료품 및 담배 도매업,"브랜드사업, 육류유통",2015-10-23,12월,장안석,http://www.hyundaicorpholdings.com,서울특별시
LIG넥스원,79550,무기 및 총포탄 제조업,정밀유도무기 등,2015-10-02,12월,김지찬,http://www.lignex1.com,경기도
HDC아이콘트롤스,39570,전기 및 통신 공사업,"기계설비공사, 스마트홈, 지능형 빌딩, SOC",2015-09-24,12월,김성은,http://www.icontrols.co.kr,경기도
동일제강,2690,1차 철강 제조업,"PC강연선, 경강선, 도금선, 마봉강",2015-09-24,12월,"김익중, 김우진, 김준년",http://www.dongil-steel.com,경기도
AJ네트웍스,95570,산업용 기계 및 장비 임대업,"렌탈(파렛트, OA장비, 건설장비)",2015-08-21,12월,반채운 윤규선 이현우,http://www.ajnet.co.kr,서울특별시
이노션,214320,광고업,광고대행 및 광고물의 제작 등,2015-07-17,12월,안건희,http://www.innocean.com,서울특별시
토니모리,214420,기타 화학제품 제조업,"스킨케어 베이직, 포인트 메이크업, 스킨케어 스페셜, 베이스 메이크업 등",2015-07-10,12월,배해동,http://www.tonysteet.com,서울특별시
미래에셋생명,85620,보험업,생명보험상품,2015-07-08,12월,"하만덕, 변재상",http://life.miraeasset.com,서울특별시
경보제약,214390,기초 의약물질 및 생물학적 제제 제조업,"아토르바스타틴, 세프티족심, 세프트리약손",2015-06-29,12월,김태영,http://www.kbpharma.co.kr,충청남도
SK디앤디,210980,부동산 임대 및 공급업,"비주거용 부동산개발 및 임대(오피스, 지식산업센터, 호텔 등)",2015-06-23,12월,함스테판윤성,http://www.skdnd.com,경기도
